,Player,Span_ODI_bowl,Mat_ODI_bowl,Inns_ODI_bowl,Balls_del_ODI,Runs_given_ODI,Wkts_ODI,Ave_ODI_bowl,Econ_ODI,SR_ODI_bowl,4_W_ODI,5_W_ODI,Start_year_ODI_bowl,End_year_ODI_bowl,best_wkts_ODI,best_runs_given_ODI
0,M Muralitharan (Asia/ICC/SL),18,350,341,18811,12326,534,23.08,3.93,35.2,15,10,1993,2011,7,30
1,Wasim Akram (PAK),19,356,351,18186,11812,502,23.52,3.89,36.2,17,6,1984,2003,5,15
2,Waqar Younis (PAK),14,262,258,12698,9919,416,23.84,4.68,30.5,14,13,1989,2003,7,36
3,WPUJC Vaas (Asia/SL),14,322,320,15775,11014,400,27.53,4.18,39.4,9,4,1994,2008,8,19
4,Shahid Afridi (Asia/ICC/PAK),19,398,372,17670,13632,395,34.51,4.62,44.7,4,9,1996,2015,7,12
5,SM Pollock (Afr/ICC/SA),12,303,297,15712,9631,393,24.5,3.67,39.9,12,5,1996,2008,6,35
6,GD McGrath (AUS/ICC),14,250,248,12970,8391,381,22.02,3.88,34.0,9,7,1993,2007,7,15
7,B Lee (AUS),12,221,217,11185,8877,380,23.36,4.76,29.4,14,9,2000,2012,5,22
8,SL Malinga (SL),15,226,220,10936,9760,338,28.87,5.35,32.3,11,8,2004,2019,6,38
9,A Kumble (Asia/INDIA),17,271,265,14496,10412,337,30.89,4.3,43.0,8,2,1990,2007,6,12
10,ST Jayasuriya (Asia/SL),22,445,368,14874,11871,323,36.75,4.78,46.0,8,4,1989,2011,6,29
11,J Srinath (INDIA),12,229,227,11935,8847,315,28.08,4.44,37.8,7,3,1991,2003,5,23
12,DL Vettori (ICC/NZ),18,295,277,14060,9674,305,31.71,4.12,46.0,8,2,1997,2015,5,7
13,SK Warne (AUS/ICC),12,194,191,10642,7541,293,25.73,4.25,36.3,12,1,1993,2005,5,33
14,AB Agarkar (INDIA),9,191,188,9484,8021,288,27.85,5.07,32.9,10,2,1998,2007,6,42
15,Saqlain Mushtaq (PAK),8,169,165,8770,6275,288,21.78,4.29,30.4,11,6,1995,2003,5,20
16,Z Khan (Asia/INDIA),12,200,197,10097,8301,282,29.43,4.93,35.8,7,1,2000,2012,5,42
17,JH Kallis (Afr/ICC/SA),18,328,283,10750,8680,273,31.79,4.84,39.3,2,2,1996,2014,5,30
18,AA Donald (SA),12,164,162,8561,5926,272,21.78,4.15,31.4,11,2,1991,2003,6,23
19,Abdul Razzaq (Asia/PAK),15,265,254,10941,8564,269,31.83,4.69,40.6,8,3,1996,2011,6,35
20,JM Anderson (ENG),13,194,191,9584,7861,269,29.22,4.92,35.6,11,2,2002,2015,5,23
21,Harbhajan Singh (Asia/INDIA),17,236,227,12479,8973,269,33.35,4.31,46.3,2,3,1998,2015,5,31
22,Mashrafe Mortaza (Asia/BDESH),18,217,217,10789,8759,266,32.92,4.87,40.5,7,1,2001,2019,6,26
23,M Ntini (ICC/SA),11,173,171,8687,6559,266,24.65,4.53,32.6,8,4,1998,2009,6,22
24,Shakib Al Hasan (BDESH),13,206,203,10517,7857,260,30.21,4.48,40.4,8,2,2006,2019,5,29
25,N Kapil Dev (INDIA),16,225,221,11202,6945,253,27.45,3.71,44.2,3,1,1978,1994,5,43
26,Shoaib Akhtar (Asia/ICC/PAK),13,163,162,7764,6169,247,24.97,4.76,31.4,6,4,1998,2011,6,16
27,KD Mills (NZ),14,170,169,8230,6485,240,27.02,4.72,34.2,8,1,2001,2015,5,25
28,MG Johnson (AUS),10,153,150,7489,6038,239,25.26,4.83,31.3,9,3,2005,2015,6,31
29,HH Streak (Afr/ZIM),12,189,185,9468,7129,239,29.82,4.51,39.6,7,1,1993,2005,5,32
30,D Gough (ENG/ICC),12,159,156,8470,6209,235,26.42,4.39,36.0,10,2,1994,2006,5,44
31,CA Walsh (WI),15,205,204,10822,6918,227,30.47,3.83,47.6,6,1,1985,2000,5,1
32,CEL Ambrose (WI),12,176,175,9353,5429,225,24.12,3.48,41.5,6,4,1988,2000,5,17
33,Abdur Razzak (BDESH),10,153,152,7965,6065,207,29.29,4.56,38.4,5,4,2004,2014,5,29
34,CZ Harris (NZ),14,250,232,10667,7613,203,37.5,4.28,52.5,2,1,1990,2004,5,42
35,CJ McDermott (AUS),11,138,138,7461,5018,203,24.71,4.03,36.7,4,1,1985,1996,5,44
36,CL Cairns (ICC/NZ),15,215,186,8168,6594,201,32.8,4.84,40.6,3,1,1991,2006,5,42
37,DJ Bravo (WI),10,164,150,6511,5874,199,29.51,5.41,32.7,6,1,2004,2014,6,43
38,KMDN Kulasekara (SL),14,184,181,8263,6751,199,33.92,4.9,41.5,4,1,2003,2017,5,22
39,BKV Prasad (INDIA),7,161,160,8129,6332,196,32.3,4.67,41.4,3,1,1994,2001,5,27
40,DW Steyn (Afr/SA),14,125,124,6256,5087,196,25.95,4.87,31.9,4,3,2005,2019,6,39
41,SR Waugh (AUS),16,325,207,8883,6761,195,34.67,4.56,45.5,3,0,1986,2002,4,33
42,CL Hooper (WI),16,227,203,9573,6958,193,36.05,4.36,49.6,3,0,1987,2003,4,34
43,L Klusener (SA),8,171,164,7336,5751,192,29.95,4.7,38.2,1,6,1996,2004,6,49
44,M Morkel (Afr/SA),11,117,114,5760,4761,188,25.32,4.95,30.6,7,2,2007,2018,5,21
45,CRD Fernando (Asia/SL),11,147,141,6507,5648,187,30.2,5.2,34.7,3,1,2001,2012,6,27
46,TG Southee (NZ),11,140,138,7021,6373,186,34.26,5.44,37.7,4,3,2008,2019,7,33
47,Saeed Ajmal (PAK),7,113,112,6000,4182,184,22.72,4.18,32.6,6,2,2008,2015,5,24
48,Aaqib Javed (PAK),10,163,159,8012,5721,182,31.43,4.28,44.0,2,4,1988,1998,7,37
49,Imran Khan (PAK),18,175,153,7461,4844,182,26.61,3.89,40.9,3,1,1974,1992,6,14
50,RA Jadeja (INDIA),10,159,155,8029,6552,181,36.19,4.89,44.3,7,1,2009,2019,5,36
51,Umar Gul (PAK),13,130,128,6064,5253,179,29.34,5.19,33.8,4,2,2003,2016,6,42
52,SCJ Broad (ENG),10,121,121,6109,5364,178,30.13,5.26,34.3,9,1,2006,2016,5,23
53,NW Bracken (AUS),8,116,116,5759,4240,174,24.36,4.41,33.0,5,2,2001,2009,5,47
54,Imran Tahir (SA),8,107,104,5541,4297,173,24.83,4.65,32.0,7,3,2011,2019,7,45
55,JDP Oram (NZ),11,160,154,6911,5047,173,29.17,4.38,39.9,3,2,2001,2012,5,26
56,IK Pathan (INDIA),8,120,118,5855,5142,173,29.72,5.26,33.8,5,2,2004,2012,5,27
57,MA Starc (AUS),9,85,85,4315,3611,172,20.99,5.02,25.0,11,7,2010,2019,6,28
58,NLTC Perera (SL),10,161,152,5711,5556,171,32.49,5.83,33.3,5,4,2009,2019,6,44
59,A Flintoff (ENG/ICC),10,141,119,5624,4121,169,24.38,4.39,33.2,6,2,1999,2009,5,19
60,SR Watson (AUS),13,190,163,6466,5342,168,31.79,4.95,38.4,3,0,2002,2015,4,36
61,CH Gayle (ICC/WI),20,301,199,7424,5926,167,35.48,4.78,44.4,3,1,1999,2019,5,46
62,TA Boult (NZ),7,89,89,4884,4111,164,25.06,5.05,29.7,7,5,2012,2019,7,34
63,Mushtaq Ahmed (PAK),14,144,142,7543,5361,161,33.29,4.26,46.8,3,1,1989,2003,5,36
64,Sir RJ Hadlee (NZ),17,115,112,6182,3407,158,21.56,3.3,39.1,1,5,1973,1990,5,25
65,Shoaib Malik (PAK),20,287,217,7958,6192,158,39.18,4.66,50.3,1,0,1999,2019,4,19
66,MD Marshall (WI),12,136,134,7175,4233,157,26.96,3.53,45.7,6,0,1980,1992,4,18
67,A Nehra (Asia/INDIA),10,120,120,5751,4981,157,31.72,5.19,36.6,5,2,2001,2011,6,23
68,M Prabhakar (INDIA),12,130,127,6360,4534,157,28.87,4.27,40.5,4,2,1984,1996,5,33
69,GB Hogg (AUS),12,123,113,5564,4188,156,26.84,4.51,35.6,3,2,1996,2008,5,32
70,SR Tendulkar (INDIA),23,463,270,8054,6850,154,44.48,5.1,52.2,4,2,1989,2012,5,32
71,BAW Mendis (SL),7,87,84,4154,3324,152,21.86,4.8,27.3,7,3,2008,2015,6,13
72,UDU Chandana (SL),13,147,136,6142,4818,151,31.9,4.7,40.6,4,1,1994,2007,5,61
73,R Ashwin (INDIA),7,111,109,6021,4937,150,32.91,4.91,40.1,1,0,2010,2017,4,25
74,SE Bond (NZ),8,82,80,4295,3070,147,20.88,4.28,29.2,7,4,2002,2010,6,19
75,J Garner (WI),10,98,98,5330,2752,146,18.84,3.09,36.5,2,3,1977,1987,5,31
76,IT Botham (ENG),16,116,115,6271,4139,145,28.54,3.96,43.2,3,0,1976,1992,4,31
77,TM Odoyo (Afr/KENYA),18,136,129,5649,4335,145,29.89,4.6,38.9,5,0,1996,2014,4,25
78,AU Rashid (ENG),10,99,93,4851,4547,143,31.79,5.62,33.9,7,2,2009,2019,5,27
79,JN Gillespie (AUS),9,97,96,5144,3611,142,25.42,4.21,36.2,3,3,1996,2005,5,22
80,MA Holding (WI),11,102,102,5473,3034,142,21.36,3.32,38.5,5,1,1976,1987,5,26
81,CR Woakes (ENG),8,99,95,4638,4327,142,30.47,5.59,32.6,9,3,2011,2019,6,45
82,EJ Chatfield (NZ),10,114,112,6065,3618,140,25.84,3.57,43.3,3,1,1979,1989,5,34
83,Mohammad Hafeez (PAK),16,218,177,7733,5400,139,38.84,4.18,55.6,1,0,2003,2019,4,41
84,HDPK Dharmasena (SL),10,141,134,7009,4998,138,36.21,4.27,50.7,1,0,1994,2004,4,37
85,SB Styris (NZ),12,188,161,6114,4839,137,35.32,4.74,44.6,4,1,1999,2011,6,25
86,Mohammed Shami (INDIA),6,73,72,3709,3400,136,25.0,5.5,27.2,8,1,2013,2019,5,69
87,MF Maharoof (SL),12,109,105,4640,3789,135,28.06,4.89,34.3,4,2,2004,2016,6,14
88,LE Plunkett (ENG),14,89,87,4137,4010,135,29.7,5.81,30.6,6,1,2005,2019,5,52
89,DW Fleming (AUS),7,88,88,4619,3402,134,25.38,4.41,34.4,4,1,1994,2001,5,36
90,JO Holder (WI),6,112,108,5179,4777,133,35.91,5.53,38.9,4,2,2013,2019,5,27
91,Rashid Khan (AFG),4,71,67,3558,2467,133,18.54,4.16,26.7,4,4,2015,2019,7,18
92,A Symonds (AUS),11,198,158,5935,4955,133,37.25,5.0,44.6,2,1,1998,2009,5,18
