,Player,Span_t20_bowl,Mat_t20_bowl,Inns_t20_bowl,Runs_given_t20,Wkts_t20,Ave_t20_bowl,Econ_t20,SR_t20_bowl,4_W_t20,5_W_t20,Start_year_t20_bowl,End_year_t20_bowl,best_wkts_t20,best_runs_given_t20,Balls_del_t20
0,SL Malinga (SL),13,79,79,2061,106,19.44,7.23,16.1,1,2,2006,2019,5,6,1709
1,Shahid Afridi (ICC/PAK),12,99,97,2396,98,24.44,6.63,22.1,3,0,2006,2018,4,11,2168
2,Shakib Al Hasan (BDESH),13,76,75,1894,92,20.58,6.81,18.1,3,1,2006,2019,5,20,1667
3,Saeed Ajmal (PAK),6,64,63,1516,85,17.83,6.36,16.8,4,0,2009,2015,4,19,1430
4,Umar Gul (PAK),9,60,60,1443,85,16.97,7.19,14.1,4,2,2007,2016,5,6,1203
5,Rashid Khan (AFG/ICC),4,45,45,1052,84,12.52,6.15,12.2,3,2,2015,2019,5,3,1026
6,GH Dockrell (IRE),9,73,69,1539,75,20.52,6.95,17.7,1,0,2010,2019,4,20,1328
7,TG Southee (NZ),11,66,64,1954,75,26.05,8.36,18.6,0,1,2008,2019,5,18,1401
8,Mohammad Nabi (AFG),9,75,75,1839,69,26.65,7.16,22.3,3,0,2010,2019,4,10,1540
9,KMDN Kulasekara (SL),9,58,58,1530,66,23.18,7.45,18.6,2,0,2008,2017,4,31,1231
10,BAW Mendis (SL),6,39,39,952,66,14.42,6.45,13.4,3,2,2008,2014,6,8,885
11,SCJ Broad (ENG),8,56,55,1491,65,22.93,7.62,18.0,1,0,2006,2014,4,24,1173
12,Imran Tahir (SA/World),6,38,38,948,63,15.04,6.73,13.4,2,2,2013,2019,5,23,845
13,DW Steyn (SA),12,44,44,1068,61,17.5,6.79,15.4,2,0,2007,2019,4,9,943
14,Mohammad Amir (PAK),10,48,48,1224,59,20.74,6.96,17.8,1,0,2009,2019,4,13,1054
15,NL McCullum (NZ),9,63,59,1278,58,22.03,6.82,19.3,2,0,2007,2016,4,16,1123
16,KJ O'Brien (IRE),11,90,51,1134,58,19.55,7.53,15.5,1,0,2008,2019,4,45,903
17,S Badree (WI/World),6,52,52,1180,56,21.07,6.17,20.4,1,0,2012,2018,4,15,1146
18,CJ Jordan (ENG),5,43,43,1300,54,24.07,8.58,16.8,2,0,2014,2019,4,6,909
19,Mohammad Hafeez (PAK),12,89,67,1226,54,22.7,6.58,20.6,1,0,2006,2018,4,10,1117
20,Sohail Tanvir (PAK),10,57,57,1454,54,26.92,7.18,22.4,0,0,2007,2017,3,12,1214
21,RE van der Merwe (NL/SA),10,43,42,938,54,17.37,6.28,16.5,1,0,2009,2019,4,35,895
22,WB Rankin (ENG/IRE),10,48,47,1138,53,21.47,6.69,19.2,0,0,2009,2019,3,16,1020
23,PM Seelaar (NL),11,69,58,1190,53,22.45,6.89,19.5,1,0,2008,2019,4,19,1035
24,R Ashwin (INDIA),7,46,46,1193,52,22.94,6.97,19.7,2,0,2010,2017,4,8,1026
25,DJ Bravo (WI),10,66,56,1470,52,28.26,8.46,20.0,2,0,2006,2016,4,28,1042
26,YS Chahal (INDIA),3,36,36,1139,52,21.9,8.1,16.2,2,1,2016,2019,6,25,843
27,Mustafizur Rahman (BDESH),4,37,37,1065,52,20.48,7.87,15.5,1,1,2015,2019,5,22,811
28,SP Narine (WI),7,51,49,1105,52,21.25,6.01,21.1,1,0,2012,2019,4,12,1102
29,JJ Bumrah (INDIA),3,42,42,1029,51,20.17,6.71,18.0,0,0,2016,2019,3,11,919
30,NLTC Perera (ICC/SL/World),9,79,64,1628,51,31.92,9.26,20.6,0,0,2010,2019,3,24,1054
31,GP Swann (ENG),4,39,38,859,51,16.84,6.36,15.8,0,0,2008,2012,3,13,810
32,MJ Santner (NZ),4,39,38,928,49,18.93,7.2,15.7,1,0,2015,2019,4,11,773
33,SM Sharif (SCOT),7,42,41,1185,49,24.18,8.23,17.6,1,0,2012,2019,4,24,863
34,SR Watson (AUS),10,58,49,1187,48,24.72,7.65,19.3,1,0,2006,2016,4,15,930
35,M Morkel (SA/World),10,44,44,1191,47,25.34,7.5,20.2,2,0,2007,2017,4,17,952
36,IS Sodhi (NZ),5,40,39,1131,47,24.06,8.16,17.6,0,0,2014,2019,3,18,831
37,PA van Meekeren (NL),6,41,39,945,47,20.1,6.94,17.3,2,0,2013,2019,4,11,817
38,Shadab Khan (PAK),2,38,36,948,46,20.6,6.99,17.6,1,0,2017,2019,4,14,813
39,Bilal Khan (OMAN),4,32,31,778,45,17.28,7.0,14.8,3,0,2015,2019,4,19,666
40,MRJ Watt (SCOT),4,35,33,903,45,20.06,7.22,16.6,0,1,2015,2019,5,27,750
41,Abdur Razzak (BDESH),8,34,33,838,44,19.04,6.88,16.5,1,0,2006,2014,4,16,730
42,Ahsan Malik (NL),5,31,29,730,44,16.59,7.61,13.0,1,1,2012,2017,5,19,575
43,DJG Sammy (WI/World),10,68,59,1116,44,25.36,7.31,20.8,1,1,2007,2017,5,26,916
44,Mudassar Bukhari (NL),8,38,35,780,43,18.13,6.64,16.3,3,0,2008,2016,4,7,704
45,KD Mills (NZ),9,42,42,1228,43,28.55,8.21,20.8,0,0,2005,2014,3,26,897
46,Imad Wasim (PAK),4,41,40,877,42,20.88,5.96,21.0,1,1,2015,2019,5,14,882
47,Mashrafe Mortaza (BDESH),11,54,53,1527,42,36.35,8.04,27.1,1,0,2006,2017,4,19,1139
48,B Kumar (INDIA),7,43,43,1088,41,26.53,7.04,22.5,0,1,2012,2019,5,24,926
49,WD Parnell (SA),8,40,39,1038,41,25.31,8.31,18.2,1,0,2009,2017,4,13,749
50,KOK Williams (WI),3,24,24,724,41,17.65,8.33,12.7,1,0,2016,2019,4,28,521
51,Al-Amin Hossain (BDESH),6,28,26,673,40,16.82,7.36,13.7,0,0,2013,2019,3,20,548
